question,answer
Seahenge,"President of the Council for British Archaeology, Pryor amply  demonstrates his love for archaeology in this highly readable  tribute to the ""Wetland Revolution."" The title refers to a site  discovered when it began emerging from the waters near Norfolk,  England, in 1998. Pryor labored to understand and save the  timbers that form this aquatic version of Stonehenge. He leads  up to the story of Seahenge with an explanation of why and how  he became an archaeologist, followed by lengthy discussions of  the prehistory of Britain as illuminated by his investigations.  He thereby establishes the context of Seahenge in both its  uniqueness and its representation of prehistoric Britain. This  book is top-notch in bringing vividly and clearly to life the  personal thrill of archaeological discovery and the world of  prehistoric people. Highly recommended for libraries of all  kinds. Joyce L. Ogburn, Univ. of Washington, SeattleCopyright 2001 Reed Business Information, Inc."
The School at the Chalet (The Chalet School),"Elinor M. Brent-Dyer grew up in South Shields (Catherine Cookson country!) but moved south after training as a teacher. She wrote The School at the Chalet after her only trip abroad, to the Austrian Tyrol, never guessing it would prove so successful as to warrant writing a further fifty or so books on the subject. And although she wrote many books about other schools, the Chalet School series remains her most enduringly popular. She died in 1969.--This text refers to an out of print or unavailable edition of this title."
The One Minute Manager,"Ken Blanchard is the founder and Chairman of The Ken Blanchard Companies. His One Minute Manager series has sold over 18 million copies and been translated into more than 25 languages. He has also written or co-authored numerous other books, including Gung Ho!, Big Bucks! and Raving Fans!. The Blanchards currently live in San Diego.           Spencer Johnson is an internationally bestselling author whose books help millions of people discover simple truths they can use to have healthier lives with more success and less stress. His many bestsellers include The One Minute Manager (with Ken Blanchard), The One Minute Sales Person, Yes or No and Who Moved My Cheese?."
Psychic Protection (Thorsons Way of),"Be initiated into a new 'Way' of lifeEveryone at some time in their life, will need psychic protection. Psychic protection acts as an impermeable barrier against other people's negative thoughts and feelings. This introductory guide combines practical easy-to-use techniques, such as visualisations and flower essences, with actual case studies. It also explains:&#x2022; what psychic protection is and why everyone needs it&#x2022; psychic protection in everyday life&#x2022; psychic attachment and how to guard against psychic attackSuitable for both the beginner and the more experienced practitioner, this is the book to deepen your sense of well being and enhance your life."
"Traitor's Knot: Fourth Book of The Alliance of Light (The Wars of Light and Shadow, Book 7) (The Wars of Light and Shadow series) (Bk. 4)",&#x2018;Astonishingly original and compelling&#x2026; A gifted creator of wonder&#x2019;RAYMOND E. FEIST&#x2018;It ought to be illegal for one person to have so much talent&#x2019;STEPHEN DONALDSON
What Do People Do All Day?,"By Richard Scarry, Illustrated by Richard Scarry--This text refers to an out of print or unavailable edition of this title."
The Enneagram,"Karen Webb is an experienced Enneagram teacher, counsellor and workshop leader. She has introduced many people to the system and guided them in using the information to change their lives. She has been employed by many large companies as a management consultant."
One Minute Manager Salesperson (The One Minute Manager),"Spencer Johnson is an internationally bestselling author whose books help millions of people discover simple truths they can use to have healthier lives with more success and less stress. His many bestsellers include The One Minute Manager (with Ken Blanchard), The One Minute Sales Person, Yes or No and Who Moved My Cheese?"
The Waterbirth Book: Everything You Need to Know from the World's Renowned Natural Childbirth Pioneer,"'Informative, interesting and stimulating...it should be a necessary part of every midwife's reading.' ARMS QUARTERLY JOURNAL"
The Reindeer People,"Praise for Megan Lindholm: 'A bright new talent in the fantasy field' Charles de Lint 'Lindholm has created a refreshingly different magic' Locus 'Fascinating, absorbing and well written' Fantasy Review"
The American Boy,"'Hugely entertaining, beguiling and atmospheric' Observer (Books of the Year) 'A wonderful book, richly composed and beautifully written, an enthralling read from start to finish' The Times (Top Ten Crime Novels of the Decade) 'Creates an atmosphere close to Sarah Waters' Fingersmith ... Deeply absorbing and beautifully written' Independent 'A most artful and delightful book, that will both amuse and chill, and it will have you desperate to search out a quiet corner to continue your acquaintance with it' Daily Telegraph (Books of the Year)"
Folly,"""The thing about madness was, it just took so damn much energy, and it  was so thoroughly tedious in the meantime.""  Master woodworker Rae Newborn knows madness intimately, with every bone, every pore, every particle of her being. At 52, with three suicide attempts, extended hospitalizations, the death of her husband and daughter, and a vicious attack behind her, Rae has come to Folly Island, far out in the Straits of Juan de Fuca, to rebuild her life by building a house:She would pull herself together, she would go and rebuild Desmond's house, she would lift his walls and dwell within them quietly all the rest of her days.  Everything that House was lay there waiting for her to take it up: House as shelter, House as permanence, House as a continuation and a legacy, comfort and challenge, safety and beauty, symbol and reality joined as one.Bequeathed to Rae by Desmond Newborn, a great-uncle she never met, Folly Island is lovely indeed.  But when Rae discovers Desmond's journal in the 70-year-old ruins of his house, she learns that Desmond had his own internal horrors to confront on the island.  As she labors in solitude, her prickly nature deterring all but the most determined of her would-be neighbors, it's not just her well-being that's at stake.  Rae must prove herself sane if she is to have any contact with her beloved granddaughter Petra. So when the ""skin-crawling feeling of being watched"" doesn't fade, she does her best to ignore it. But does paranoia have its roots in reality? And is Rae doomed to repeat her ancestor's tragic end?So effectively does King weave together past and present--the shrouded history of Desmond's life and death on Folly, and the tense, dusty, exhilaratingly panicky account of Rae's wrestling with old demons and new timber--that the future seems less important than the author might have wished.  In other words, the eventual unmasking of Rae's watcher pales in comparison to the gradual revelation of Rae herself within King's haunted and haunting narrative. But with such a strong character and such moodily lovely prose, readers shouldn't miss the denouement-driven trappings of standard suspense.--Kelly Flynn--This text refers to theHardcoveredition."
Light on Yoga,One of Time magazine's 100 Most Influential People in the World. 'The Michelangelo of yoga' - BBC
The Complete History of Middle-Earth Boxed Set,"'One marvels anew at the depth, breadth and persistence of J.R.R. Tolkien's labour. No one sympathetic to his aims -- the invention of a secondary universe -- will want to miss this chance to be present at the creation.' Publishers Weekly"
The Dance,"'You have a true higher self, and this book tells you how to come from there all the time and be authentic and make a lasting difference.' Mark Victor Hansen, co-author of Chicken Soup for the Soul 'To read The Dance is to invite all the far-flung parts of yourself ... back onto the dance floor for a slow and sweet waltz. At the end of the dance, you have whirled yourself back into one whole person.' Elizabeth Lesser, author of The Seeker's Guide"
Seahenge: A Quest for Life and Death in Bronze Age Britain,"Francis Pryor is President of the Council for British Archaeology and a prominent field archaeologist who has devoted his professional life to the excavation of wetland landscapes in eastern England. He has been a central figure in the so-called 'Wetland Revolution' of British archaeology, and has published a number of specialist monographs on his discoveries. He appears frequently on TV's Time Team; this is his first book for a wide general audience."
Harpy's Flight,"Praise for Megan Lindholm: 'A bright new talent in the fantasy field' Charles de Lint 'Lindholm has created a refreshingly different magic' Locus 'Fascinating, absorbing and well written' Fantasy Review"
The New Drawing on the Right Side of the Brain,"'Not only a book about drawing, it is a book about living. This brilliant approach to the teaching of drawing...should not be dismissed as a mere text. It emancipates.' Los Angeles Times"
Myth and Magic: The Art of John Howe,"Artists the world over have endeavored to capture the essence of J.R.R. Tolkien&#8217;s Middle&#8211;earth: the passion and heroism of the characters, the heart&#8211;stopping drama of the action, the mythic grandeur of Middle&#8211;earth itself. Few have succeeded. Pre&#8211;eminent among those who have is John Howe. Now, inMyth and Magic,which features 250 of his paintings and sketches, we are offered a splendid gallery of his work, including all the Tolkien pieces as well as a selection of his other fantasy paintings. From the beloved picture of &#8220;Smaug&#8221; that adornsThe Hobbitto the spectacular images that appear on best&#8211;selling novels, this collection will delight both Tolkien fans and all who have been captivated by one of the finest fantasy artists in the world."
Fix-it Duck (Duck in the Truck),"The trouble begins with a leaky roof in the sequel to Duck in a Truck, Fix-It Duck by Jez Alborough, and follows the, er, handy quacker on a series of missteps.Copyright 2002 Cahners Business Information, Inc.--This text refers to theHardcoveredition."
Head Strong: 10 Ways to Make the Most of Your Body and Mind,"'Tony Buzan will do for the brain what Stephen Hawking did for the Universe'  The Times  'If you put Buzan's theories to the test, you could find yourself memorising pages from a phone book, or becoming the brainiest person in the world' Personal Computer World Magazine  'Tony didn't invent the brain - he did invent the instructions!' John Husbands, MD, Institute of Management"
The Street Bible,"First off, nothing. No light, no time, no substance, no matter. Second off, God starts it all off and WHAP! Stuff everywhere! Genesis 1:1It&#x92;s creative. It&#x92;s colourful. It&#x92;s the Bible as you&#x92;ve never read it. In this engaging new paraphrase, author and actor Rob Lacey renders the Bible in the language of the modern urban reader. Using MTV-style dialogue, Lacey lends fresh perspective to familiar stories and sayings. For new and seasoned readers alike, the street bible takes the message of the Scriptures into the 21st century to create the impact it had in the 1st century."
Witch: A Magikal Journey- A Hip Guide to Modern Witchcraft,"Describing itself as ""A Hip Guide to Modern Witchcraft,"" this uninhibited offering from Australian witch, rock diva, model and media personality Horne is pure pop entertainment, reading more like a feature in a fashion magazine than an account of the present-day practice of Wicca. Steeped in girlfriend-to-girlfriend attitude and style, Horne's funky and relentlessly positive prose (""[Eve] was, in fact, a benevolent and switched-on sister...."") is liable to infuriate practiced occultists while proving irresistible to young people fascinated by or even just curious about witchcraft. Part memoir and part manual, the book offers snapshots of just about every part of a modern witch's practice, from casting spells and observing Wiccan sabbaths to setting up an altar and practicing ""skyclad"" (or nude)Anot to mention how to make magic with, for and during sex. Although this guidebook can safely be characterized as a lighthearted romp through the practice of witchcraft, it does contain some useful and well-organized reference material, such as a glossary of ""magickal"" herbs, a calendar of the witch's year and a full complement of easy-to-follow spells for love, money and so forth. Occasionally, ethical qualms silence Horne's ready tongue, leading to curiously unusable directives (as in ""Bitchcraft,"" the chapter on hexing, where she describes in graphic detail the preparation and abuse of an enemy's effigy, but primly refuses to tell you what to say while you're doing it). Experienced Wiccans and occultists will want to turn to more authoritative sources, but as it stands, this is an appealing introduction for the dabbler, the dreamer and other wide-eyed seekers of modern-day magic. (Jan.) Forecast: From the sexy photo of Horne on its jacket to its overall pop approach and its unusually low price (especially for a hardcover containing color photos), this title promises to be the witchcraft book of 2001. Thorsons is backing it with a three-city author tour and a 60,000 print run. Expect the book to cast a spell on readers, resulting in charmed sales.Copyright 2000 Reed Business Information, Inc."
Rumi: Hidden Music,"From Hidden Music: My love, you are closer to me than myself, You shine through my eyes. Your light is brighter than the moon. Step into the garden So all the flowers, even the tall poplar Can kneel before your beauty. Let your voice silence the lily  Famous for its hundred tongues."
TO END ALL WARS,"Now A Major Motion Picture Starring Robert Carlyle and Kiefer Sutherland&#x91;Waking from a dream, I suddenly realized where I was: in the Death House&#x96;in a prison camp by the River Kwai. I was a prisoner of war, lying among the dead, waiting for the bodies to be carried away so that I might have more room.&#x92; When Ernest Gordon was twenty-four he was captured by the Japanese and forced, with other British prisoners, to build the notorious &#x91;Railroad of Death&#x92;, where nearly 16,000 Prisoners of War gave their life. Faced with the appalling conditions of the prisoners&#x92; camp and the brutality of the captors, he survived to become an inspiring example of the triumph of the human spirit against all odds.To End All Wars is Ernest Gordon&#x92;s gripping true story behind both the Academy Award-winning film The Bridge on the River Kwai starring Alec Guinness and the new film To End All Wars directed by David Cunningham."
The Art of Indian Face Massage: How to Give Yourself a Natural Facelift,"Twenty years ago, Narendra Mehta was the first to bring Champissage to the UK. He is a qualified osteopath as well as massage therapist and has been blind since childhood. He and Kundan run the London Centre of Indian Champissage, which specialises in Indian Head and Facial massage"
Georgiana's World,"Reviews for Georgiana, Duchess of Devonshire  'Mesmerizing' Antonia Fraser, Literary Review   'Well-written, extensively researched and highly readable Gripping' Stella Tillyard, Mail on Sunday   An outstanding debut by a young biographer fully in control of her sources, and with an easy and elegant writing style' Roy Strong, Sunday Times"
Evil Under the Sun (Poirot),"Considered by many to be one of the very best Agatha Christie mysteries, this macabre tale has lost none of its crisp intrigue since it was first published in 1940. Using a plot formula that has since become a mystery standard, Christie conveniently gathers all the characters in one hard-to-leave location, in this case, the Jolly Roger, a vacation hotel on the southern coast of England. One of the guests, a gorgeous, dramatic flirt, is strangled to death, and the famous detective Hercule Poirot who happens to be vacationing at the Jolly Roger, too sets out to solve the case. Each of the well-developed characters is suspect, and listeners will constantly be changing their bets as to whodunit. British stage actor Suchet, who many know as the definitive Poirot from the Public Television Mystery! series was an obvious choice for the reader of this production, having won an Audie award for reading Christie's Mysterious Affair at Styles in 1997. Suchet gives an outstanding and highly entertaining performance, obviously taking great zeal in the task of fleshing out Christie's colorful lot of characters.Copyright 2002 Cahners Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
Seven Days to a Magickal New You,"For the novice witch, the New Ager or the merely experimental, Horne (Witch: A Magical Journey) conjures up a charming seven-day guide to creating ""an enchanted sense of self."" Don't expect bubbling cauldrons and powdered bat wings: directions and inspirations (printed in purple, the color of ""wisdom and insight"") encourage readers to embrace their inner Wiccan by burning special incense, bathing in particular essential oils, reciting different affirmations and focusing on transforming themselves into ""potent and powerful being[s]."" In other words, Horne offers tips on a kind of practical magic, which focuses on the self rather than the spell. Her instructions are practical, too: if mace, cedar and nutmeg are hard to come by, burn lavender incense; if chanting ""skyclad"" (read: naked) doesn't appeal, wear a white flowing robe. This simplicity and pragmatism is especially important in light of Horne's personal theology, which with its elements of Hinduism, Greek mythology, astrology, Native American ritual and Hazelden self-help books is extremely ecumenical. Readers eager to explore the latest developments in self-improvement trends might find helpful mantras within and will likely be delighted by Horne's enthusiasm for her subject. It would take some real magic to convince the skeptics, however; but if anyone can do that, it's this mediagenic author.Copyright 2001 Cahners Business Information, Inc."
Curtain: Poirot's Last Case,"'First rate Christie: fast, complicated, wryly funny' Time 'Superb, vintage Christie' Sunday Express"
The Testosterone Revolution: Rediscover Your Energy and Overcome the Symptoms of Male Menopause,"'Reading Dr Carruthers' book is like talking to the physician most of us wish we had. This is a rare book written by a wise healer.' Jed Diamond, author of New York Times Bestseller, Male Menopause"
Poirot's Early Cases,"'Superb, vintage Christie' Sunday Express 'The plotting is as exact as in the novels and all one can do is stand back and wonder at the invention and enthusiasm.' Irish Times"
Jane's Guns Recognition Guide - 3rd Edition,Ian V. Hogg has recently retired from Jane's Information Group. He edited their Infantry Weapons yearbook for many years and is the author of over 70 books on small arms as well as countless magazine aritlces. He lives in the UK.
The Lord of the Rings,"A Christian can almost be forgiven for not reading the Bible, but there's no salvation for a fantasy fan who hasn't read the gospel of the genre, J.R.R. Tolkien's definitive three-book epic, the Lord of the Rings (encompassingThe Fellowship of the Ring,The Two Towers, andThe Return of the King), and its charming precursor,The Hobbit. That many (if not most) fantasy works are in some way derivative of Tolkien is understood, but the influence of the Lord of the Rings is so universal that everybody from George Lucas to Led Zeppelin has appropriated it for one purpose or another.Not just revolutionary because it was groundbreaking, the Lord of the Rings is timeless because it's the product of a truly top-shelf mind. Tolkien was a distinguished linguist and Oxford scholar of dead languages, with strong ideas about the importance of myth and story and a deep appreciation of nature. His epic, 10 years in the making, recounts the Great War of the Ring and the closing of Middle-Earth's Third Age, a time when magic begins to fade from the world and men rise to dominance. Tolkien carefully details this transition with tremendous skill and love, creating in the Lord of the Rings a universal and all-embracing tale, a justly celebrated classic.--Paul Hughes--This text refers to an out of print or unavailable edition of this title."
101 Poems to Keep You Sane: Emergency Rations for the Seriously Stressed,"""This is a sometimes witty!always thought-provoking guide!a portable gathering of wise advice for every readership."" Time Out"
Toll for the Brave,"'Open a Jack Higgins novel and you'll encounter a master craftsman at the peak of his powers ... first-rate tales of intrigue, suspense and full-on action.' Sunday Express 'Higgins is a master of his craft.' Daily Telegraph 'A thriller writer in a class of his own.' Financial Times 'The master craftsman of good, clean adventure.' Daily Mail"
The Illustrated Man (Voyager Classics),"ThatThe Illustrated Manhas remained in print since being  published in 1951 is fair testimony to the universal appeal of Ray Bradbury's work. Only his second collection (the first wasDark Carnival, later reworked intoThe October Country), it is a marvelous, if mostly dark, quilt of science fiction, fantasy, and horror. In an ingenious framework to open and close the book, Bradbury presents himself as a nameless narrator who meets the Illustrated Man--a wanderer whose entire body is a living canvas of exotic tattoos. What's even more remarkable, and increasingly disturbing, is that the illustrations are themselves magically alive, and each proceeds to unfold its own story, such as ""The Veldt,"" wherein rowdy children take a game of virtual reality way over the edge. Or ""Kaleidoscope,"" a heartbreaking portrait of stranded astronauts about to reenter our atmosphere--without the benefit of a spaceship. Or ""Zero Hour,"" in which invading aliens have discovered a most logical ally--our own children. Even though most were written in the 1940s and 1950s, these 18 classic stories will be just as chillingly effective 50 years from now.--Stanley Wiater--This text refers to an out of print or unavailable edition of this title."
NOTHING LIKE A DAME,"""As time moves on like the waves on the seashore that I love to watch, I realize that there's no going back.  I'm just hoping that the Good Lord is pleased with how I have used the talents he invested in ves all those years ago.""Dave Thora Hird's life story brings us humorous and affectionate reminiscences, from the early days of being ""spotted"" by George Formby to her BAFTA-winning performances for Alan Bennett's Talking Heads.Theatrical anecdotes guide us through her West End successes and film roles, alongside Arthur Askey, Normon Wisdom, Alan Bates and Joan Sims.  And she recalls with fondness her well-loved television series, including Praise Be! and Last of the Summer Wine.Widely acknowledged for her work, she also talks bout her wonderful marriage to husband, Scottie, the achievements of her daughter, Janette, and the support of the friends who surround her.For the many people she has delighted over the years, Nothing Like a Dame will be an enduring testament to one of Britain's best-loved personalities."
Wilkins' Tooth,"""...Her hallmarks include laugh-aloud humour, plenty of magic and imaginative array of alternate worlds. Yet, at the same time, a great seriousness is present in all of her novels, a sense of urgency that links Jones's most outrageous plots to her readers' hopes and fears..."" Publishers Weekly"
Collins COBUILD Learner's Dictionary; Concise Edition,"Through a collaborative initiative, Collins COBUILD and Heinle are co-publishing a dynamic new line of learner's dictionaries offering unparalleled pedagogy and learners' resources. The first Collins COBUILD dictionary was published in 1987, thanks in part to John Sinclair, one of the very first modern corpus linguists who personally oversaw the creation of the Bank of English.  Every COBUILD dictionary is based on the Bank of English, a huge electronic database of both written and spoken language, which today contains over 650 million words."
Reflexology: Complete Illustrated Guide,"""...very helpful and comprehensive"" Yoga and Health"
The Big Book of Tai Chi: Build Health Fast in Slow Motion,"""Tai Chi Power is not only an encyclopedia but is the foundation for inspiration to begin the study and practice of this fabulous approach to life.""  C. Norman Shealy, M.D., Ph.D. President, Holos University Graduate Semina  'Tai Chi, as taught by BKF, is a powerful, yet gentle, healing practice that can help alleviate chronic diseases, especially when the therapeutic tools offered by Western medicine do not fulfill all the needs of the patients.' Marie-Helene Jouvin, MD, Research Associate, Harvard Medical School."
India Discovered: The Recovery of a Lost Civilization,"'A gripping, erudite and witty study of the European discovery of India's ancient past. The first book I ever read on India, and still one of my favourites.' William Dalrymple 'Exact scholarship, plus clear, strong writing, with glints of humour on every page ... This book will greatly reinforce Mr Keay's reputation as the best of the post-Raj interpreters of India for English-speakers.' Dervla Murphy, The Irish Times"
Food Combining Bible: Your Complete Guide to Using the Hay Diet for Digestive Health and a Balanced Approach to Weight Loss,"Jan Dries is a leading Dutch nutritionist and the author of many books and articles on nutrition. Building on the pioneering work of Drs. Hay and Shelton, he has met and worked with thousands of people in search of a better diet.  Inge Dries inherited her love of cooking from her mother and, growing up with food combining has developed a delicious and inspired range of recipes."
Cars and Trucks and Things That Go,""" Richard Scarry's brilliant books are full of wonder and mayhem, and have been a favourite of children for generations."" Junior Magazine--This text refers to an alternateHardcoveredition."
Lillian Too's Flying Star Feng Shui for the Master Practitioner: The Ultimate Guide to Advanced Practice  Feng Shui: Stage II (Lillian Too's Feng Shui in Small Doses),"Lillian Too lives in Kuala Lumpur, where she observes the principles of Feng Shui in her own home and immediate environment, and devotes time to writing her books, contributing to numerous magazines, and running her own publishing company, all of which she does with marked success. She is the best-selling author of The Illustrated Encyclopedia of Feng Shui and The Complete Illustrated Guide to Feng Shui, among others."
"A Doctor's Home Cure for Arthritis: The Bestselling, Proven Self Treatment Plan","Some reader comments from Amazon: !Within days the swelling in her knees went down and her mobility returned. So impressed was one of her friends that they are now trying the diet. Certainly one to buy if you are suffering. A reader in Midhurst, UK. This book has changed my Mum's life! in the last 6 months her arthritis became so bad she's been virtually immobile -- she was scared she was looking at life as an invalid!Then a friend showed her this book. Mum and Dad have both been following the plan for 3 weeks -- the results have been terrific: Mum went for a 2 mile walk this morning and can move her hands almost normally and, as an added bonus, between them they have lost 1stone 10lbs. Mum said she started to feel an improvement in the arthritis from day 4 of following the eating plan and the improvement is continuing every day. A reader in Buckinghamshire, UK."
Britain BC: Life in Britain and Ireland Before the Romans,"&#x2018;Written with pace and passion&#x2026;immensely readable.&#x2019; Tom Holland, Daily Telegraph&#x2018;It bounds along, wonderfully enlivened by Pryor&#x2019;s earthy enthusiasm. If you want to be introduced painlessly to the fascinating debates surrounding our British past, then &#x201C;Britain BC&#x201D; is the book for you.&#x2019; Barry Cunliffe, New Scientist&#x2018;Francis Pryor is a modern field archaeologist with a reputation second to none. He has written a book as successful and exciting as its ambition is huge&#x2026;lucid and engaging.&#x2019; Alan Garner, The Times&#x2018;There are enough curious facts, contentious theories and bizarre hypotheses here to hold the interest of anyone concerned with the unique and peculiar story of these islands.&#x2019; Independent on Sunday&#x2018;Beautifully written, exciting and extremely good&#x2026;an essential read.&#x2019; British ArchaeologyPraise for Francis Pryor&#x2019;s television series &#x2018;Britain BC&#x2019;:&#x2018;Fascinating&#x2026;the evangelical Pryor paints a vivid portrait of pre-Roman society that tackles received wisdom about what was going on here in the Stone, Bronze and Iron ages.&#x2019; Daily Telegraph&#x2018;Pryor leaps about the country at a cracking pace, his big personality making sure we never get bored by the scant and rarefied scraps that are his stock-in-trade.&#x2019; Observer"
Coastal Landscapes: A Practical Guide to Painting Coastal Scenery,"The sea and coastline hold a tremendous attraction for painters, yet trying to capture crashing waves and rocky seascapes, for example, presents a hurdle for many artists. AlthoughCoastal Landscapesis aimed at those who already have some experience in painting, much of the book will also be of interest and value to beginners. This well&#x2013;structured course covers all the practical aspects of watercolor, pastel, and oil painting, as well as composition, painting on site, and evoking atmosphere and light. Throughout, there are numerous practical exercises, not only highlighting key points but also enabling students to monitor their progress. Featuring 150 color illustrations, this is an outstanding guide to painting coastal scenery."
Uptown Girl,"'If you like Sex and the City you'll love this sassy comedy.' The Sun 'A gorgeous witty story... It's Sex and the City and more.' Australian Woman's Day ACCLAIM FOR OLIVIA GOLDSMITH: 'Goldsmith's characters are wilful, robust, amusing and delightfully credible' Mail on Sunday 'Goldsmith hands out her characters' rewards and comeuppances like Jane Austen dealing blackjack... You keep licking your fingers and reaching for the next page as if it were another potato chip' Newsweek 'What a great feeling to fall into the capable hands of Olivia Goldsmith. The author of The First Wives Club and Bestseller always serves up believable characters in slightly outlandish situations in a mixture that makes highly entertaining reading...' People 'Full of wisecracks, and gossip... Olivia Goldsmith can keep you reading' Cosmopolitan"
Wish Upon a Star,"'If you're after escapism, it doesn't come more enchanting than this.' Daily Mail ACCLAIM FOR OLIVIA GOLDSMITH: A gorgeous witty story... It's Sex and the City and more.' Australian Woman's Day 'Goldsmith's characters are wilful, robust, amusing and delightfully credible' Mail on Sunday 'Goldsmith hands out her characters' rewards and comeuppances like Jane Austen dealing blackjack... You keep licking your fingers and reaching for the next page as if it were another potato chip' Newsweek 'What a great feeling to fall into the capable hands of Olivia Goldsmith. The author of The First Wives Club and Bestseller always serves up believable characters in slightly outlandish situations in a mixture that makes highly entertaining reading...' People 'Full of wisecracks, and gossip... Olivia Goldsmith can keep you reading' Cosmopolitan"
Complete Illustrated Guide to Feng Shui for Gardeners,"""Lillian Too's Feng Shui is outstanding and spellbinding!"" Dr Leong Yin Ching M Ed PhD Professor of Education, University of Malaysia"
Endometriosis: A Key to Healing Through Nutrition,"'Approximately one in ten women in the world today is affected by endometriosis, and the number of sufferers is steadily rising. Endometriosis is the condition in which the lining of the womb grows on other organs outside of the uterus, frequently causing intolerable pain. In some cases it may lead to problems conceiving or infertility. But there is hope.'In this important book Dian Mills and Michael Vernon describe clearly what endometriosis is, how it affects the body, the treatments that are available &#x2013; both orthodox and complimentary &#x2013; and, most importantly, what practical steps can be taken to push endometriosis into remission. Drawing upon years of research, they show how diet can provide the key to optimum health and can unlock a completely refreshed sense of well-being. This book includes:'&#x2022; An explanation of how endometriosis affects the body and advice on how to cope with it&#x2022; A practical account of the key role played by nutrition&#x2022; Information on foods that harm, foods that heal, minerals and vitamins&#x2022; Delicious recipes and menu suggestions&#x2022; Practical tips''""Many women with endometriosis have found that nutrition can play a major role in overcoming some of the most debilitating effects of the disease. Dian Mills has studied the role of nutrition in treating endometriosis and, together with Michael Vernon, has made this information available in an understandable and compassionate way.""'MARY LOU BALLWEG, PRESIDENT, INTERNATIONAL ENDOMETRIOSIS ASSOCIATION'Dian Shepperson Mills' Cert. Ed. BA. Dip. ION MA is a nutritionist, lecturer and tutor at the Institute for Optimum Nutrition in London. She has been a trustee of the National Endometriosis Society for over five years and has written many articles on endometriosis.'Dr Michael Vernon' PhD HCLD is a reproductive physiologist and scientific director at Woman's Hospital of Baton Rouge, Louisiana. He is the author of over 100 published scientific articles, abstracts and book chapters."
Ten Thousand Miles Without a Cloud,"'Packed with erudition and perception...it is also honest, sensitive, entirely without ego...ultimately, a meditation on the human condition.' Evening Standard 'Sun Shuyun records her feelings and those of others with spontaneous simplicity, almost innocence, as if she were still the child seeking her grandmother's solution.' Colin Thubron, Sunday Telegraph 'Wild Swans meets The Alchemist.' Conde Nast Traveller"
Road of Bones: The Siege of Kohima 1944,"'I found myself, on one or two pages towards the close, caught in a choking emotion...the evidence is meticulously gathered and the writing so powerful that it turns a book about a battle into a book about human beings, their existence, their end' Guardian 'With this electrifying and heart-rending tale BBC foreign correspondent Fergal Keane has catapulted himself into the top rank of our military historians' Daily Express 'In his sweeping account of the battle in Kohima in 1944, Fergal Keane does justice to the memory of the men who fell and who survived...a vivid account which brings to life the brutality of that war...an engrossing narrative of ghastly battle' Independent 'A profoundly tragic book by an eminent humanitarian...Fergal Keane is not a man for triumphalism...he is really writing a passionate elegy for all battles...it is a noble book that Keane has written...its grandeur lies in its essential vision - decent forgiving, pitying and always regretful' The Times 'Along with his war correspondent's feel for action, Keane brings to the task an eye for detail and a gift for describing what it is like to be in a battle at the lowest level...although Generals may command, plot and plan, in the end the success or failure will rest on the courage, motivation, training and fortitude of ordinary men...""Road of Bones"" captures this superlatively' Literary Review"
Tatiana and Alexander,"Praise for Tatiana and Alexander 'This has everything a romance glutton could wish for: a bold, talented and dashing hero, a heart-stopping love affair that nourishes its two protagonists even when they are separated and lost, a long and bitter military campaign, plus personal excavations into the past. It also has - thank goodness - a welcome sense of humour and discernable characters rather than ciphers.' Victoria Moore, Daily Mail The Bronze Horseman 'Pulling off the passionate love story embedded in a truly epic narrative is a difficult thing to do. Margaret Mitchell's Gone With the Wind remains the blueprint for the genre, while Tolstoy's War and Peace carries off the literary honours ... it's quickly apparent that the Russian-born author Paullina Simons has the measure of this kind of epic romantic saga. The power of her descriptive writing, the vividness of the historical detail and, most of all, the strength of her central characters mark out her novel as a considerable achievement ... she is able to make some powerful statements about the durability of the human spirit, but never at the expense of descriptive passages refulgent with power and beauty' Barry Forshaw, amazon"
The Diaries of Jane Somers,"Doris Lessing is one of the most important writers of the twentieth century and was awarded the Nobel Prize for Literature 2007. Her first novel, 'The Grass is Singing', was published in 1950. Among her other celebrated novels are 'The Golden Notebook', 'The Fifth Child' and 'Memoirs of a Survivor'. She has also published two volumes of her autobiography, 'Under my Skin' and 'Walking in the Shade'. Doris Lessing died on 17 November 2013 at the age of 94."
Wellington: The Iron Duke,"""In Holmes' surprisingly revisionist view, Wellington emerges as far better soldier than he was a loveable individual."" --The Times"
The Blood Type Diet Cookbook: 100 Fresh and Delicious Recipes to Transform your Health and your Life!,"Karen Vago has been a practising nutritional therapist for over 10 years. She was trained at the Institute of Optimum Nutrition and has excellent contacts among key names in nutrition in the UK. Lucy Degremont is a qualified Tai Chi teacher, photographer and talented chef"
